"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"GenBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasI.ttf","Gentium Basic Italic","Gentium Basic","GentiumBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"GenBkBasR.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasR.ttf","Gentium Book Basic","Gentium Book Basic","GentiumBookBasic",FALSE,FALSE,FALSE,NA
NA,"GenBkBasB.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasB.ttf","Gentium Book Basic Bold","Gentium Book Basic","GentiumBookBasic-Bold",TRUE,FALSE,FALSE,NA
NA,"GenBkBasBI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasBI.ttf","Gentium Book Basic Bold Italic","Gentium Book Basic","GentiumBookBasic-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GenBkBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasI.ttf","Gentium Book Basic Italic","Gentium Book Basic","GentiumBookBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"LiberationMono-Regular.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf","Liberation Mono","Liberation Mono","LiberationMono",FALSE,FALSE,FALSE,NA
NA,"LiberationMono-Bold.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Bold.ttf","Liberation Mono Bold","Liberation Mono","LiberationMono-Bold",TRUE,FALSE,FALSE,NA
NA,"LiberationMono-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-BoldItalic.ttf","Liberation Mono Bold Italic","Liberation Mono","LiberationMono-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"LiberationMono-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Italic.ttf","Liberation Mono Italic","Liberation Mono","LiberationMono-Italic",FALSE,TRUE,FALSE,NA
NA,"LiberationSans-Regular.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSans-Regular.ttf","Liberation Sans","Liberation Sans","LiberationSans",FALSE,FALSE,FALSE,NA
NA,"LiberationSans-Bold.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSans-Bold.ttf","Liberation Sans Bold","Liberation Sans","LiberationSans-Bold",TRUE,FALSE,FALSE,NA
NA,"LiberationSans-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSans-BoldItalic.ttf","Liberation Sans Bold Italic","Liberation Sans","LiberationSans-BoldItalic",TRUE,TRUE,FALSE,NA
